numero,enunciado,A,B,C,D,E,CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,ANO,TP_LINGUA,IN_ITEM_ADAPTADO,TP_VERSAO_DIGITAL
11.0,"Para que todos os órgãos do corpo humano
funcionem em boas condições, é necessário que a
temperatura do corpo fique sempre entre 36 oC e 37 oC.
Para manter-se dentro dessa faixa, em dias de muito calor
ou durante intensos exercícios físicos, uma série de
mecanismos fisiológicos é acionada.
Pode-se citar como o principal responsável pela
manutenção da temperatura corporal humana o sistema","digestório, pois produz enzimas que atuam na quebra
de alimentos calóricos.
","imunológico, pois suas células agem no sangue,
diminuindo a condução do calor.
","nervoso, pois promove a sudorese, que permite perda
de calor por meio da evaporação da água.
","reprodutor, pois secreta hormônios que alteram a
temperatura, principalmente durante a menopausa.
","endócrino, pois fabrica anticorpos que, por sua vez,
atuam na variação do diâmetro dos vasos periféricos.",11.0,CN,60092.0,C,,0.0,,153326,0.32209,13856.0,AZUL,49.0,2009.0,,,
12.0,"Sabões são sais de ácidos carboxílicos de
cadeia longa utilizados com a finalidade de facilitar,
durante processos de lavagem, a remoção de
substâncias de baixa solubilidade em água, por
exemplo, óleos e gorduras. A figura a seguir representa
a estrutura de uma molécula de sabão.

Em solução, os ânions do sabão podem
hidrolisar a água e, desse modo, formar o ácido
carboxílico correspondente. Por exemplo, para o
estearato de sódio, é estabelecido o seguinte equilíbrio:
CH3(CH2)16COO– + H2O CH3(CH2)16COOH + OH–
Uma vez que o ácido carboxílico formado é
pouco solúvel em água e menos eficiente na remoção
de gorduras, o pH do meio deve ser controlado de
maneira a evitar que o equilíbrio acima seja deslocado
para a direita.
Com base nas informações do texto, é correto concluir
que os sabões atuam de maneira","mais eficiente em pH básico.
","mais eficiente em pH ácido.
","mais eficiente em pH neutro.
","eficiente em qualquer faixa de pH.
",mais eficiente em pH ácido ou neutro.,12.0,CN,60126.0,A,,0.0,,114174,2.0854,11183.0,AZUL,49.0,2009.0,,,
13.0,"A abertura e a pavimentação de rodovias em
zonas rurais e regiões afastadas dos centros urbanos,
por um lado, possibilita melhor acesso e maior
integração entre as comunidades, contribuindo com o
desenvolvimento social e urbano de populações
isoladas. Por outro lado, a construção de rodovias pode
trazer impactos indesejáveis ao meio ambiente, visto
que a abertura de estradas pode resultar na
fragmentação de habitats, comprometendo o fluxo
gênico e as interações entre espécies silvestres, além
de prejudicar o fluxo natural de rios e riachos,
possibilitar o ingresso de espécies exóticas em
ambientes naturais e aumentar a pressão antrópica
sobre os ecossistemas nativos.
Nesse contexto, para conciliar os interesses aparentemente
contraditórios entre o progresso social e urbano e a
conservação do meio ambiente, seria razoável","impedir a abertura e a pavimentação de rodovias em
áreas rurais e em regiões preservadas, pois a qualidade
de vida e as tecnologias encontradas nos centros urbanos
são prescindíveis às populações rurais.
","impedir a abertura e a pavimentação de rodovias em
áreas rurais e em regiões preservadas, promovendo a
migração das populações rurais para os centros urbanos,
onde a qualidade de vida é melhor.
","permitir a abertura e a pavimentação de rodovias apenas
em áreas rurais produtivas, haja vista que nas demais
áreas o retorno financeiro necessário para produzir uma
melhoria na qualidade de vida da região não é garantido.
","permitir a abertura e a pavimentação de rodovias, desde
que comprovada a sua real necessidade e após a
realização de estudos que demonstrem ser possível
contornar ou compensar seus impactos ambientais.
","permitir a abertura e a pavimentação de rodovias, haja
vista que os impactos ao meio ambiente são temporários e
podem ser facilmente revertidos com as tecnologias
existentes para recuperação de áreas degradadas.",13.0,CN,60127.0,D,,0.0,,133828,-0.83038,92.0,AZUL,49.0,2009.0,,,
14.0,"A eficiência de um processo de conversão de energia
é definida como a razão entre a produção de energia ou
trabalho útil e o total de entrada de energia no processo.
Considere um sistema de geração e transmissão de energia
em que a usina de força tenha eficiência E1 = 0,35; as linhas
de transmissão tenham eficiência E2 = 0,90, a iluminação
tenha eficiência E3 = 0,05, tal que a eficiência geral da
conversão de energia química em energia luminosa seja
calculada por E1 × E2 × E3 = 0,35 × 0,90 × 0,05 =
0,016 = 1,6%. Nesse caso, a eficiência geral será igual ao
produto das eficiências das etapas individuais. A entrada de
energia que não se transformar em trabalho útil será perdida
sob formas não utilizáveis (como resíduos de calor).
Aumentar a eficiência dos processos de conversão de energia
implica economizar recursos e combustíveis. Das propostas
seguintes, qual resultará em maior aumento da eficiência geral
do processo? ","Aumentar a quantidade de combustível para queima na
usina de força.
","Utilizar lâmpadas incandescentes, que geram pouco calor
e muita luminosidade.
","Manter o menor número possível de aparelhos elétricos
em funcionamento nas moradias.
","Utilizar cabos com menor diâmetro nas linhas de
transmissão a fim de economizar o material condutor.
","Utilizar materiais com melhores propriedades condutoras
nas linhas de transmissão e lâmpadas fluorescentes nas
moradias.",14.0,CN,58443.0,E,,0.0,,78172,-0.79595,663.0,AZUL,49.0,2009.0,,,
15.0,"Para que apresente condutividade elétrica
adequada a muitas aplicações, o cobre bruto obtido por
métodos térmicos é purificado eletroliticamente. Nesse
processo, o cobre bruto impuro constitui o ânodo da célula,
que está imerso em uma solução de CuSO4. À medida que
o cobre impuro é oxidado no ânodo, íons Cu2+ da solução
são depositados na forma pura no cátodo. Quanto às
impurezas metálicas, algumas são oxidadas, passando à
solução, enquanto outras simplesmente se desprendem do
ânodo e se sedimentam abaixo dele. As impurezas
sedimentadas são posteriormente processadas, e sua
comercialização gera receita que ajuda a cobrir os custos
do processo. A série eletroquímica a seguir lista o cobre e
alguns metais presentes como impurezas no cobre bruto
de acordo com suas forças redutoras relativas, a partir do
metal de maior força para o de menor força redutora
relativa.
Ouro
Platina
Prata
Cobre
Chumbo
Níquel
Zinco
Entre as impurezas metálicas que constam na série
apresentada, as que se sedimentam abaixo do ânodo de
cobre são","Au, Pt, Ag, Zn, Ni e Pb.
","Au, Pt e Ag.
","Zn, Ni e Pb.
","Au e Zn.
",Ag e Pb.,15.0,CN,60128.0,B,,0.0,,9303-01-01 00:00:00,2.32807,17045.0,AZUL,49.0,2009.0,,,
16.0,"Considere um modelo de transmissão da informação
genética nos sistemas biológicos que consista na
replicação do DNA, na transcrição entre DNA e RNA,
representada por uma seta bidirecional, e na tradução de
RNA em proteínas, representada por uma seta direcionada
do RNA para a proteína. No fim do processo, que inclui a
replicação, a transcrição e a tradução, há três formas
proteicas diferentes denominadas a, b e c.
Depreende-se do modelo que","a única molécula que participa da produção de
proteínas é o DNA.
","o fluxo de informação genética, nos sistemas
biológicos, é unidirecional.
","as fontes de informação ativas durante o processo de
transcrição são as proteínas.
"," é possível obter diferentes variantes proteicas a partir
de um mesmo produto de transcrição.
","a molécula de DNA possui forma circular e as demais
moléculas possuem forma de fita simples linearizadas.",16.0,CN,60129.0,D,,0.0,,116625,0.4491,10048.0,AZUL,49.0,2009.0,,,
17.0,"O Brasil pode se transformar no primeiro país das
Américas a entrar no seleto grupo das nações que
dispõem de trens-bala. O Ministério dos Transportes prevê
o lançamento do edital de licitação internacional para a
construção da ferrovia de alta velocidade Rio-São Paulo. A
viagem ligará os 403 quilômetros entre a Central do Brasil,
no Rio, e a Estação da Luz, no centro da capital paulista,
em uma hora e 25 minutos.
Disponível em: Lnk
Devido à alta velocidade, um dos problemas a ser
enfrentado na escolha do trajeto que será percorrido pelo
trem é o dimensionamento das curvas. Considerando-se
que uma aceleração lateral confortável para os
passageiros e segura para o trem seja de 0,1 g, em que g
é a aceleração da gravidade (considerada igual a 10 m/s2
),
e que a velocidade do trem se mantenha constante em
todo o percurso, seria correto prever que as curvas
existentes no trajeto deveriam ter raio de curvatura mínimo
de, aproximadamente,","80 m.
","430 m.
","800 m.
","1.600 m.
",6.400 m.,17.0,CN,60130.0,E,,0.0,,368523,2.43214,4399.0,AZUL,49.0,2009.0,,,
18.0,"O manual de instruções de um aparelho de ar-
condicionado apresenta a seguinte tabela, com dados

técnicos para diversos modelos:

Capacidade de refrigeração kW/(BTU/h): 3,52/(12.000)
Potência (W): 1.193
Corrente elétrica – ciclo frio (A): 5,8
Eficiência energética COP (W/W): 2,95
Vazão de ar (m3
/h): 550
Frequência (Hz): 60
Capacidade de refrigeração kW/(BTU/h): 5,42/(18.000)
Potência (W): 1.790
Corrente elétrica – ciclo frio (A): 8,7
Eficiência energética COP (W/W): 2,95
Vazão de ar (m3
/h): 800
Frequência (Hz): 60
Capacidade de refrigeração kW/(BTU/h): 5,42/(18.000)
Potência (W): 1.790
Corrente elétrica – ciclo frio (A): 8,7
Eficiência energética COP (W/W): 2,95
Vazão de ar (m3
/h): 800
Frequência (Hz): 60
Capacidade de refrigeração kW/(BTU/h): 6,45/(22.000)
Potência (W): 2.188
Corrente elétrica – ciclo frio (A): 10,2
Eficiência energética COP (W/W): 2,95
Vazão de ar (m3
/h): 960
Frequência (Hz): 60
Capacidade de refrigeração kW/(BTU/h): 6,45/(22.000)
Potência (W): 2.188
Corrente elétrica – ciclo frio (A): 10,2
Eficiência energética COP (W/W): 2,95
Vazão de ar (m3
/h): 960
Frequência (Hz): 60
Disponível em: Lnk
Considere-se que um auditório possua capacidade para
40 pessoas, cada uma produzindo uma quantidade média
de calor, e que praticamente todo o calor que flui para fora

do auditório o faz por meio dos aparelhos de ar-
condicionado. Nessa situação, entre as informações

listadas, aquelas essenciais para se determinar quantos
e/ou quais aparelhos de ar-condicionado são precisos para
manter, com lotação máxima, a temperatura interna do
auditório agradável e constante, bem como determinar a
espessura da fiação do circuito elétrico para a ligação
desses aparelhos, são","vazão de ar e potência.
","vazão de ar e corrente elétrica - ciclo frio.
","eficiência energética e potência.
","capacidade de refrigeração e frequência.
","capacidade de refrigeração e corrente elétrica - ciclo
frio.",18.0,CN,60131.0,E,,0.0,,88832,2.65902,3076.0,AZUL,49.0,2009.0,,,
19.0,"A instalação elétrica de uma casa envolve várias
etapas, desde a alocação dos dispositivos, instrumentos e
aparelhos elétricos, até a escolha dos materiais que a
compõem, passando pelo dimensionamento da potência
requerida, da fiação necessária, dos eletrodutos ─
condutos por onde passa a fiação de uma instalação elétrica,
com a finalidade de protegê-la ─, entre outros.
 A cada aparelho elétrico está associado um valor
de potência. Valores típicos de potências, em W, para
alguns aparelhos elétricos são apresentados a seguir.
Aparelho de som: 120
Chuveiro elétrico: 3.000
Ferro elétrico: 500
Televisor: 200
Geladeira: 200
Rádio: 50
 A escolha das lâmpadas é essencial para
obtenção de uma boa iluminação. A potência da lâmpada
deverá estar de acordo com o tamanho do cômodo a ser
iluminado. Os dados a seguir mostram a relação entre as
áreas dos cômodos (em m2
) e as potências das lâmpadas
(em W), e foram utilizados como referência para o primeiro
pavimento de uma residência.
Área do cômodo: até 6 m2
Potência da lâmpada (W)
Sala/copa/cozinha: 60
Quarto, varanda e corredor: 60
Banheiro: 60
Área do cômodo: de 6 m2
 até 7,5 m2
Potência da lâmpada (W)
Sala/copa/cozinha: 100
Quarto, varanda e corredor: 100
Banheiro: 60
Área do cômodo: de 7,5 m2
 até 10,5 m2
Potência da lâmpada (W)
Sala/copa/cozinha: 100
Quarto, varanda e corredor: 100
Banheiro: 100
Considere que, no primeiro pavimento da referida
residência, encontram-se os seguintes aparelhos elétricos:
uma geladeira, um ferro elétrico, um rádio, um chuveiro
elétrico, um aparelho de som, um televisor. Considere,
ainda, que, nesse pavimento, sejam utilizadas 4 lâmpadas,
nos seguintes cômodos: uma na cozinha, cuja dimensão é
3 m × 3 m; uma no banheiro, cuja dimensão é
1,5 m × 2,1 m; uma na sala, cuja dimensão é 2,8 m × 3 m;
e uma no corredor, cuja dimensão é 1,5 m × 0,9 m. Nesse
caso, com todos os aparelhos em funcionamento, a
potência total, em watts, será de","4.070.
","4.270.
","4.320.
","4.390.
",4.470.,19.0,CN,59275.0,D,,0.0,,204966,1.09094,16162.0,AZUL,49.0,2009.0,,,
20.0,"O esquema de uma estação geradora de eletricidade
abastecida por combustível fóssil pode ser descrito da
seguinte maneira: por meio de uma bomba, retira-se água
fria de um lago; utilizando-se combustível e ar, essa água é
aquecida em uma caldeira, produzindo-se vapor e gases
da combustão; o vapor é encaminhado por dutos para uma
turbina, que, além de mover um gerador, produz água
quente, que retorna ao lago; a eletricidade produzida pelo
gerador é encaminhada para os centros de consumo por
meio de uma linha de transmissão.
Se fosse necessário melhorar o rendimento dessa usina,
que forneceria eletricidade para abastecer uma cidade,
qual das seguintes ações poderia resultar em alguma
economia de energia, sem afetar a capacidade de geração
da usina? ","Reduzir a quantidade de combustível fornecido à usina
para ser queimado.
","Reduzir o volume de água do lago que circula no
condensador de vapor.
","Reduzir o tamanho da bomba usada para devolver a
água líquida à caldeira.
","Melhorar a capacidade dos dutos com vapor
conduzirem calor para o ambiente.
","Usar o calor liberado com os gases pela chaminé para
mover um outro gerador.",20.0,CN,60132.0,E,,0.0,,84679,-0.83963,135.0,AZUL,49.0,2009.0,,,
21.0,"Os seres vivos apresentam diferentes ciclos de
vida, caracterizados pelas fases nas quais gametas são
produzidos e pelos processos reprodutivos que resultam
na geração de novos indivíduos.
Considerando-se um modelo simplificado padrão para
geração de indivíduos viáveis, consistindo de um ciclo
fechado, a alternativa que corresponde ao observado em
seres humanos é: 
",Img,Img,Img,Img,Img,21.0,CN,60133.0,C,,0.0,,308201,1.3096,21834.0,AZUL,49.0,2009.0,,,
22.0,"Um medicamento, após ser ingerido, atinge a
corrente sanguínea e espalha-se pelo organismo, mas,
como suas moléculas “não sabem” onde é que está o
problema, podem atuar em locais diferentes do local “alvo”
e desencadear efeitos além daqueles desejados. Não seria
perfeito se as moléculas dos medicamentos soubessem
exatamente onde está o problema e fossem apenas até
aquele local exercer sua ação? A técnica conhecida como
iontoforese, indolor e não invasiva, promete isso. Essa
nova técnica baseia-se na aplicação de uma corrente
elétrica de baixa intensidade sobre a pele do paciente,
permitindo que fármacos permeiem membranas biológicas
e alcancem a corrente sanguínea, sem passar pelo
estômago. Muitos pacientes relatam apenas um
formigamento no local de aplicação. O objetivo da corrente
elétrica é formar poros que permitam a passagem do
fármaco de interesse. A corrente elétrica é distribuída por
eletrodos, positivo e negativo, por meio de uma solução
aplicada sobre a pele. Se a molécula do medicamento tiver
carga elétrica positiva ou negativa, ao entrar em contato
com o eletrodo de carga de mesmo sinal, ela será repelida
e forçada a entrar na pele (mecanismo denominado de
eletrorrepulsão). Se for neutra, a molécula será forçada a
entrar na pele juntamente com o fluxo de solvente
fisiológico que se forma entre os eletrodos (mecanismo
denominado de eletrosmose).
De acordo com as informações contidas no texto, o uso da
iontoforese","provoca ferimento na pele do paciente ao serem
introduzidos os eletrodos, rompendo o epitélio.
","aumenta o risco de estresse nos pacientes, causado
pela aplicação da corrente elétrica.
","inibe o mecanismo de ação dos medicamentos no
tecido-alvo, pois estes passam a entrar por meio da
pele.
","diminui o efeito colateral dos medicamentos, se
comparados com aqueles em que a ingestão se faz
por via oral.
","deve ser eficaz para medicamentos constituídos de
moléculas polares e ineficaz, se essas forem apolares.",22.0,CN,60134.0,D,,0.0,,164897,0.05733,10661.0,AZUL,49.0,2009.0,,,
23.0,"Cerca de 1% do lixo urbano é constituído por
resíduos sólidos contendo elementos tóxicos. Entre esses
elementos estão metais pesados como o cádmio, o
chumbo e o mercúrio, componentes de pilhas e baterias,
que são perigosos à saúde humana e ao meio ambiente.
Quando descartadas em lixos comuns, pilhas e baterias
vão para aterros sanitários ou lixões a céu aberto, e o
vazamento de seus componentes contamina o solo, os rios
e o lençol freático, atingindo a flora e a fauna. Por serem
bioacumulativos e não biodegradáveis, esses metais
chegam de forma acumulada aos seres humanos, por meio
da cadeia alimentar. A legislação vigente (Resolução
CONAMA no 257/1999) regulamenta o destino de pilhas e
baterias após seu esgotamento energético e determina aos
fabricantes e/ou importadores a quantidade máxima
permitida desses metais em cada tipo de pilha/bateria,
porém o problema ainda persiste.
Disponível em: Lnk
Uma medida que poderia contribuir para acabar
definitivamente com o problema da poluição ambiental por
metais pesados relatado no texto seria","deixar de consumir aparelhos elétricos que utilizem
pilha ou bateria como fonte de energia.
","usar apenas pilhas ou baterias recarregáveis e de vida
útil longa e evitar ingerir alimentos contaminados,
especialmente peixes.
","devolver pilhas e baterias, após o esgotamento da
energia armazenada, à rede de assistência técnica
especializada para repasse a fabricantes e/ou
importadores.
","criar nas cidades, especialmente naquelas com mais
de 100 mil habitantes, pontos estratégicos de coleta de
baterias e pilhas, para posterior repasse a fabricantes
e/ou importadores.
","exigir que fabricantes invistam em pesquisa para a
substituição desses metais tóxicos por substâncias
menos nocivas ao homem e ao ambiente, e que não
sejam bioacumulativas.",23.0,CN,60135.0,E,,0.0,,160996,2.99298,27309.0,AZUL,49.0,2009.0,,,
